Sample	Family ID	Population	Population Description	Gender	Relationship	Unexpected Parent/Child 	Non Paternity	Siblings	Grandparents	Avuncular	Half Siblings	Unknown Second Order	Third Order	Other Comments
HG00478	SH026	CHS	Southern Han Chinese, China	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00479	SH026	CHS	Southern Han Chinese, China	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00480	SH026	CHS	Southern Han Chinese, China	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00500	SH028	CHS	Southern Han Chinese, China	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00501	SH028	CHS	Southern Han Chinese, China	female	mother	NA	NA	HG00512, HG00524	NA	NA	NA	HG00514, HG00526	NA	NA
HG00502	SH028	CHS	Southern Han Chinese, China	male	child	NA	NA	NA	NA	NA	NA	HG00512, HG00524	NA	NA
HG00512	SH032	CHS	Southern Han Chinese, China	male	father	NA	NA	HG00501, HG00524	NA	NA	NA	HG00502, HG00526	NA	NA
HG00513	SH032	CHS	Southern Han Chinese, China	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00514	SH032	CHS	Southern Han Chinese, China	female	child	NA	NA	NA	NA	NA	NA	HG00501, HG00524	NA	NA
HG00524	SH036	CHS	Southern Han Chinese, China	male	father	NA	NA	HG00501, HG00512	NA	NA	NA	HG00502, HG00514	NA	NA
HG00525	SH036	CHS	Southern Han Chinese, China	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00526	SH036	CHS	Southern Han Chinese, China	male	child	NA	NA	NA	NA	NA	NA	HG00501, HG00512	NA	NA
HG00530	SH038	CHS	Southern Han Chinese, China	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00531	SH038	CHS	Southern Han Chinese, China	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00532	SH038	CHS	Southern Han Chinese, China	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00533	SH039	CHS	Southern Han Chinese, China	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00534	SH039	CHS	Southern Han Chinese, China	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00535	SH039	CHS	Southern Han Chinese, China	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00536	SH040	CHS	Southern Han Chinese, China	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00537	SH040	CHS	Southern Han Chinese, China	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00538	SH040	CHS	Southern Han Chinese, China	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00542	SH042	CHS	Southern Han Chinese, China	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00543	SH042	CHS	Southern Han Chinese, China	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00544	SH042	CHS	Southern Han Chinese, China	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00551	PR01	PUR	Puerto Rican in Puerto Rico	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00552	PR01	PUR	Puerto Rican in Puerto Rico	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00553	PR02	PUR	Puerto Rican in Puerto Rico	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00554	PR02	PUR	Puerto Rican in Puerto Rico	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00555	PR02	PUR	Puerto Rican in Puerto Rico	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00556	SH045	CHS	Southern Han Chinese, China	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00557	SH045	CHS	Southern Han Chinese, China	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00558	SH045	CHS	Southern Han Chinese, China	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00559	SH046	CHS	Southern Han Chinese, China	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00560	SH046	CHS	Southern Han Chinese, China	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00561	SH046	CHS	Southern Han Chinese, China	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00565	SH048	CHS	Southern Han Chinese, China	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00566	SH048	CHS	Southern Han Chinese, China	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00567	SH048	CHS	Southern Han Chinese, China	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00577	SH052	CHS	Southern Han Chinese, China	male	father	NA	NA	HG00584	NA	NA	NA	HG00585	NA	NA
HG00578	SH052	CHS	Southern Han Chinese, China	female	mother	NA	NA	HG00581, HG00635	NA	NA	NA	HG00582, HG00636	NA	NA
HG00579	SH052	CHS	Southern Han Chinese, China	female	child	NA	NA	NA	NA	NA	NA	HG00581, HG00584, HG00635	NA	NA
HG00580	SH053	CHS	Southern Han Chinese, China	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00581	SH053	CHS	Southern Han Chinese, China	female	mother	NA	NA	HG00578, HG00635	NA	NA	NA	HG00579, HG00636	NA	NA
HG00582	SH053	CHS	Southern Han Chinese, China	female	child	NA	NA	NA	NA	NA	NA	HG00578, HG00635	NA	NA
HG00583	SH054	CHS	Southern Han Chinese, China	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00584	SH054	CHS	Southern Han Chinese, China	female	mother	NA	NA	HG00577	NA	NA	NA	HG00579	NA	NA
HG00585	SH054	CHS	Southern Han Chinese, China	female	child	NA	NA	NA	NA	NA	NA	HG00577	NA	NA
HG00589	SH056	CHS	Southern Han Chinese, China	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00590	SH056	CHS	Southern Han Chinese, China	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00591	SH056	CHS	Southern Han Chinese, China	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00592	SH057	CHS	Southern Han Chinese, China	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00593	SH057	CHS	Southern Han Chinese, China	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00594	SH057	CHS	Southern Han Chinese, China	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00595	SH058	CHS	Southern Han Chinese, China	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00596	SH058	CHS	Southern Han Chinese, China	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00597	SH058	CHS	Southern Han Chinese, China	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00598	SH059	CHS	Southern Han Chinese, China	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00599	SH059	CHS	Southern Han Chinese, China	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00600	SH059	CHS	Southern Han Chinese, China	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00607	SH062	CHS	Southern Han Chinese, China	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00608	SH062	CHS	Southern Han Chinese, China	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00609	SH062	CHS	Southern Han Chinese, China	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00610	SH063	CHS	Southern Han Chinese, China	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00611	SH063	CHS	Southern Han Chinese, China	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00612	SH063	CHS	Southern Han Chinese, China	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00613	SH064	CHS	Southern Han Chinese, China	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00614	SH064	CHS	Southern Han Chinese, China	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00615	SH064	CHS	Southern Han Chinese, China	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00619	SH066	CHS	Southern Han Chinese, China	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00620	SH066	CHS	Southern Han Chinese, China	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00621	SH066	CHS	Southern Han Chinese, China	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00622	SH067	CHS	Southern Han Chinese, China	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00623	SH067	CHS	Southern Han Chinese, China	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00624	SH067	CHS	Southern Han Chinese, China	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00625	SH068	CHS	Southern Han Chinese, China	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00626	SH068	CHS	Southern Han Chinese, China	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00627	SH068	CHS	Southern Han Chinese, China	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00628	SH069	CHS	Southern Han Chinese, China	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00629	SH069	CHS	Southern Han Chinese, China	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00630	SH069	CHS	Southern Han Chinese, China	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00631	SH070	CHS	Southern Han Chinese, China	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00632	SH070	CHS	Southern Han Chinese, China	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00633	SH070	CHS	Southern Han Chinese, China	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00634	SH071	CHS	Southern Han Chinese, China	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00635	SH071	CHS	Southern Han Chinese, China	female	mother	NA	NA	HG00578, HG00581	NA	NA	NA	HG00579, HG00582	NA	NA
HG00636	SH071	CHS	Southern Han Chinese, China	male	child	NA	NA	NA	NA	NA	NA	HG00578, HG00581	NA	NA
HG00637	PR03	PUR	Puerto Rican in Puerto Rico	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00638	PR03	PUR	Puerto Rican in Puerto Rico	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00639	PR03	PUR	Puerto Rican in Puerto Rico	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00640	PR04	PUR	Puerto Rican in Puerto Rico	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00641	PR04	PUR	Puerto Rican in Puerto Rico	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00642	PR04	PUR	Puerto Rican in Puerto Rico	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00650	SH072	CHS	Southern Han Chinese, China	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00651	SH072	CHS	Southern Han Chinese, China	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00652	SH072	CHS	Southern Han Chinese, China	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00653	SH073	CHS	Southern Han Chinese, China	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00654	SH073	CHS	Southern Han Chinese, China	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00655	SH073	CHS	Southern Han Chinese, China	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00656	SH074	CHS	Southern Han Chinese, China	male	father	HG00702	NA	NA	NA	NA	NA	HG00703	NA	NA
HG00657	SH074	CHS	Southern Han Chinese, China	female	mother	HG00702	NA	NA	NA	NA	NA	HG00703	NA	NA
HG00658	SH074	CHS	Southern Han Chinese, China	male	child	NA	NA	HG00702	NA	HG00703 (niece/nephew)	NA	HG00703	NA	NA
HG00662	SH076	CHS	Southern Han Chinese, China	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00663	SH076	CHS	Southern Han Chinese, China	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00664	SH076	CHS	Southern Han Chinese, China	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00671	SH079	CHS	Southern Han Chinese, China	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00672	SH079	CHS	Southern Han Chinese, China	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00673	SH079	CHS	Southern Han Chinese, China	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00674	SH080	CHS	Southern Han Chinese, China	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00675	SH080	CHS	Southern Han Chinese, China	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00676	SH080	CHS	Southern Han Chinese, China	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00683	SH083	CHS	Southern Han Chinese, China	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00684	SH083	CHS	Southern Han Chinese, China	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00685	SH083	CHS	Southern Han Chinese, China	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00689	SH085	CHS	Southern Han Chinese, China	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00690	SH085	CHS	Southern Han Chinese, China	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00691	SH085	CHS	Southern Han Chinese, China	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00692	SH086	CHS	Southern Han Chinese, China	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00693	SH086	CHS	Southern Han Chinese, China	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00694	SH086	CHS	Southern Han Chinese, China	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00698	SH088	CHS	Southern Han Chinese, China	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00699	SH088	CHS	Southern Han Chinese, China	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00700	SH088	CHS	Southern Han Chinese, China	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00701	SH089	CHS	Southern Han Chinese, China	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00702	SH089	CHS	Southern Han Chinese, China	female	mother	HG00656, HG00657	NA	HG00658	NA	NA	NA	NA	NA	NA
HG00703	SH089	CHS	Southern Han Chinese, China	male	child	NA	NA	NA	HG00656, HG00657	HG00658 (aunt/uncle)	NA	HG00656, HG00657, HG00658	NA	NA
HG00704	SH090	CHS	Southern Han Chinese, China	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00705	SH090	CHS	Southern Han Chinese, China	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00706	SH090	CHS	Southern Han Chinese, China	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00707	SH091	CHS	Southern Han Chinese, China	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00708	SH091	CHS	Southern Han Chinese, China	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00709	SH091	CHS	Southern Han Chinese, China	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00716	SH094	CHS	Southern Han Chinese, China	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00717	SH094	CHS	Southern Han Chinese, China	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00718	SH094	CHS	Southern Han Chinese, China	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00728	SH098	CHS	Southern Han Chinese, China	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00729	SH098	CHS	Southern Han Chinese, China	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00730	SH098	CHS	Southern Han Chinese, China	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00731	PR05	PUR	Puerto Rican in Puerto Rico	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00732	PR05	PUR	Puerto Rican in Puerto Rico	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00733	PR05	PUR	Puerto Rican in Puerto Rico	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00734	PR06	PUR	Puerto Rican in Puerto Rico	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00735	PR06	PUR	Puerto Rican in Puerto Rico	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00736	PR07	PUR	Puerto Rican in Puerto Rico	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00737	PR07	PUR	Puerto Rican in Puerto Rico	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00738	PR07	PUR	Puerto Rican in Puerto Rico	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00739	PR09	PUR	Puerto Rican in Puerto Rico	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00740	PR09	PUR	Puerto Rican in Puerto Rico	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00741	PR09	PUR	Puerto Rican in Puerto Rico	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00742	PR10	PUR	Puerto Rican in Puerto Rico	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00743	PR10	PUR	Puerto Rican in Puerto Rico	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00759	HG00759	CDX	Chinese Dai in Xishuangbanna, China	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00766	HG00766	CDX	Chinese Dai in Xishuangbanna, China	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00844	HG00844	CDX	Chinese Dai in Xishuangbanna, China	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00851	HG00851	CDX	Chinese Dai in Xishuangbanna, China	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00864	HG00864	CDX	Chinese Dai in Xishuangbanna, China	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00866	CDX1	CDX	Chinese Dai in Xishuangbanna, China	male	NA	HG00867	NA	NA	NA	NA	NA	NA	NA	NA
HG00867	CDX1	CDX	Chinese Dai in Xishuangbanna, China	female	NA	HG00866	NA	NA	NA	NA	NA	NA	NA	NA
HG00879	HG00879	CDX	Chinese Dai in Xishuangbanna, China	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00881	HG00881	CDX	Chinese Dai in Xishuangbanna, China	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00956	HG00956	CDX	Chinese Dai in Xishuangbanna, China	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00978	HG00978	CDX	Chinese Dai in Xishuangbanna, China	female	NA	NA	NA	HG00983	NA	NA	NA	NA	NA	NA
HG00982	HG00982	CDX	Chinese Dai in Xishuangbanna, China	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG00983	HG00983	CDX	Chinese Dai in Xishuangbanna, China	male	NA	NA	NA	HG00978	NA	NA	NA	NA	NA	NA
HG01028	HG01028	CDX	Chinese Dai in Xishuangbanna, China	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01029	HG01029	CDX	Chinese Dai in Xishuangbanna, China	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01031	HG01031	CDX	Chinese Dai in Xishuangbanna, China	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01046	HG01046	CDX	Chinese Dai in Xishuangbanna, China	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01047	PR06	PUR	Puerto Rican in Puerto Rico	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01048	PR08	PUR	Puerto Rican in Puerto Rico	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01049	PR08	PUR	Puerto Rican in Puerto Rico	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01050	PR08	PUR	Puerto Rican in Puerto Rico	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01051	PR11	PUR	Puerto Rican in Puerto Rico	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01052	PR11	PUR	Puerto Rican in Puerto Rico	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01053	PR11	PUR	Puerto Rican in Puerto Rico	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01054	PR12	PUR	Puerto Rican in Puerto Rico	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01055	PR12	PUR	Puerto Rican in Puerto Rico	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01056	PR12	PUR	Puerto Rican in Puerto Rico	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01058	PR13	PUR	Puerto Rican in Puerto Rico	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01060	PR14	PUR	Puerto Rican in Puerto Rico	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01061	PR14	PUR	Puerto Rican in Puerto Rico	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01062	PR14	PUR	Puerto Rican in Puerto Rico	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01063	PR15	PUR	Puerto Rican in Puerto Rico	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01064	PR15	PUR	Puerto Rican in Puerto Rico	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01066	PR16	PUR	Puerto Rican in Puerto Rico	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01067	PR16	PUR	Puerto Rican in Puerto Rico	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01068	PR16	PUR	Puerto Rican in Puerto Rico	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01069	PR17	PUR	Puerto Rican in Puerto Rico	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01070	PR17	PUR	Puerto Rican in Puerto Rico	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01071	PR17	PUR	Puerto Rican in Puerto Rico	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01072	PR18	PUR	Puerto Rican in Puerto Rico	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01073	PR18	PUR	Puerto Rican in Puerto Rico	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01074	PR18	PUR	Puerto Rican in Puerto Rico	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01075	PR01	PUR	Puerto Rican in Puerto Rico	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01077	PR20	PUR	Puerto Rican in Puerto Rico	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01079	PR21	PUR	Puerto Rican in Puerto Rico	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01080	PR21	PUR	Puerto Rican in Puerto Rico	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01081	PR21	PUR	Puerto Rican in Puerto Rico	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01082	PR28	PUR	Puerto Rican in Puerto Rico	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01083	PR28	PUR	Puerto Rican in Puerto Rico	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01084	PR28	PUR	Puerto Rican in Puerto Rico	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01085	PR26	PUR	Puerto Rican in Puerto Rico	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01086	PR26	PUR	Puerto Rican in Puerto Rico	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01087	PR26	PUR	Puerto Rican in Puerto Rico	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01088	PR27	PUR	Puerto Rican in Puerto Rico	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01089	PR27	PUR	Puerto Rican in Puerto Rico	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01090	PR27	PUR	Puerto Rican in Puerto Rico	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01092	PR30	PUR	Puerto Rican in Puerto Rico	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01094	PR29	PUR	Puerto Rican in Puerto Rico	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01095	PR29	PUR	Puerto Rican in Puerto Rico	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01096	PR29	PUR	Puerto Rican in Puerto Rico	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01097	PR31	PUR	Puerto Rican in Puerto Rico	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01098	PR31	PUR	Puerto Rican in Puerto Rico	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01099	PR31	PUR	Puerto Rican in Puerto Rico	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01100	PR32	PUR	Puerto Rican in Puerto Rico	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01101	PR19	PUR	Puerto Rican in Puerto Rico	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01102	PR19	PUR	Puerto Rican in Puerto Rico	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01103	PR19	PUR	Puerto Rican in Puerto Rico	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01104	PR25	PUR	Puerto Rican in Puerto Rico	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01105	PR25	PUR	Puerto Rican in Puerto Rico	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01106	PR25	PUR	Puerto Rican in Puerto Rico	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01107	PR33	PUR	Puerto Rican in Puerto Rico	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01108	PR33	PUR	Puerto Rican in Puerto Rico	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01109	PR33	PUR	Puerto Rican in Puerto Rico	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01110	PR34	PUR	Puerto Rican in Puerto Rico	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01111	PR34	PUR	Puerto Rican in Puerto Rico	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01112	CLM03	CLM	Colombian in Medellin, Colombia	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01113	CLM03	CLM	Colombian in Medellin, Colombia	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01114	CLM03	CLM	Colombian in Medellin, Colombia	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01119	CLM01	CLM	Colombian in Medellin, Colombia	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01121	CLM02	CLM	Colombian in Medellin, Colombia	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01122	CLM02	CLM	Colombian in Medellin, Colombia	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01123	CLM02	CLM	Colombian in Medellin, Colombia	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01124	CLM04	CLM	Colombian in Medellin, Colombia	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01125	CLM04	CLM	Colombian in Medellin, Colombia	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
